episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-204,0,105,0,0
1,-250,0,250,0,0
2,-163,0,64,0,0
3,-119,0,20,0,0
4,-300,0,201,0,0
5,-250,0,250,0,0
6,-127,0,28,0,0
7,-307,0,208,0,0
8,-250,0,250,0,0
9,-227,0,128,0,0
10,-250,0,250,0,0
11,-158,0,59,0,0
12,-250,0,250,0,0
13,-250,0,250,0,0
14,-250,0,250,0,0
15,-171,0,72,0,0
16,-150,0,51,0,0
17,-158,0,59,0,0
18,-278,0,179,0,0
19,-114,0,15,0,0
20,-187,0,88,0,0
21,-157,0,58,0,0
22,-270,0,171,0,0
23,-153,0,54,0,0
24,-244,0,145,0,0
25,-264,0,165,0,0
26,-122,0,23,0,0
27,-171,0,72,0,0
28,-291,0,192,0,0
29,-214,0,115,0,0
30,-211,0,112,0,0
31,-208,0,109,0,0
32,-224,0,125,0,0
33,-218,0,119,0,0
34,-209,0,110,0,0
35,-301,0,202,0,0
36,-265,0,166,0,0
37,-250,0,250,0,0
38,-152,0,53,0,0
39,-293,0,194,0,0
40,-250,0,250,0,0
41,-157,0,58,0,0
42,-340,0,241,0,0
43,-209,0,110,0,0
44,-132,0,33,0,0
45,-218,0,119,0,0
46,-259,0,160,0,0
47,-250,0,250,0,0
48,-312,0,213,0,0
49,-135,0,36,0,0
50,-305,0,206,0,0
51,-156,0,57,0,0
52,-180,0,81,0,0
53,-174,0,75,0,0
54,-218,0,119,0,0
55,-181,0,82,0,0
56,-145,0,46,0,0
57,-291,0,192,0,0
58,-152,0,53,0,0
59,-135,0,36,0,0
60,-337,0,238,0,0
61,-127,0,28,0,0
62,-275,0,176,0,0
63,-204,0,105,0,0
64,-152,0,53,0,0
65,-237,0,138,0,0
66,-136,0,37,0,0
67,-201,0,102,0,0
68,-250,0,250,0,0
69,-227,0,128,0,0
70,-184,0,85,0,0
71,-155,0,56,0,0
72,-126,0,27,0,0
73,-233,0,134,0,0
74,-181,0,82,0,0
75,-250,0,250,0,0
76,-250,0,250,0,0
77,-201,0,102,0,0
78,-107,0,8,0,0
79,-142,0,43,0,0
80,-183,0,84,0,0
81,-110,0,11,0,0
82,-250,0,250,0,0
83,-251,0,152,0,0
84,-275,0,176,0,0
85,-171,0,72,0,0
86,-132,0,33,0,0
87,-269,0,170,0,0
88,-174,0,75,0,0
89,-250,0,250,0,0
90,-250,0,250,0,0
91,-202,0,103,0,0
92,-250,0,250,0,0
93,-126,0,27,0,0
94,-282,0,183,0,0
95,-121,0,22,0,0
96,-250,0,250,0,0
97,-250,0,250,0,0
98,-121,0,22,0,0
99,-250,0,250,0,0
100,-207,0,108,0,0
101,-140,0,41,0,0
102,-236,0,137,0,0
103,-175,0,76,0,0
104,-331,0,232,0,0
105,-167,0,68,0,0
106,-250,0,250,0,0
107,-342,0,243,0,0
108,-250,0,250,0,0
109,-158,0,59,0,0
110,-219,0,120,0,0
111,-288,0,189,0,0
112,-236,0,137,0,0
113,-211,0,112,0,0
114,-250,0,250,0,0
115,-189,0,90,0,0
116,-250,0,250,0,0
117,-231,0,132,0,0
118,-290,0,191,0,0
119,-142,0,43,0,0
120,-166,0,67,0,0
121,-267,0,168,0,0
